Peak_Drawdown_Stop,Trailing_Drop_Pct,CAGR,MaxDD,ProfitFactor,WinRate,Trades,AvgTrade,Expectancy,AvgHoldDays,W50,W100,MaxWinner
Trail -10% from Peak High,10%,8.941727430062741,-33.26129663858294,1.321536908186993,36.0529217199559,907,1.5813690805646408,1.5813690805646399,23.843439911797134,17,5,301.6231536796733
Trail -15% from Peak High,15%,13.823390935027469,-24.47942763642606,1.6632557881195553,33.209647495361786,539,4.145042831812167,4.1450428318121695,45.65120593692022,28,12,272.85628842230795
Trail -20% from Peak High,20%,18.898673456936677,-25.66982983624288,2.2014629666042898,32.904884318766065,389,8.361229686880028,8.361229686880026,69.32133676092545,33,17,272.85628842230795
Trail -25% from Peak High,25%,25.324813153556814,-30.346915067126538,2.851768842835159,32.481751824817515,274,14.996115837805473,14.996115837805469,99.66058394160584,38,18,1056.8668169794173
