Metric,5th Percentile,25th Percentile,Median (50th),75th Percentile,95th Percentile,Mean,Std
Ending Capital (₹),6700141.122906082,10260173.546606898,13968011.696339604,19296907.87738726,31107466.795599803,15828929.849389728,8175767.317020391
Maximum Drawdown (%),-15.094601524591438,-11.853919407215324,-10.093896546706887,-8.725204926483789,-7.266663565735257,-10.493650526395461,2.4429508221709964
Longest Losing Streak,15.0,17.0,19.0,21.0,26.0,19.6472,3.684770299489508
Worst 20-Trade Sequence (%),-66.56832767421368,-61.36155312615422,-58.40707568949858,-55.79958547222215,-52.41929200723965,-58.785028430957674,4.303037972663543
