System,TotalTrades,AvgHoldDays,MedianHoldDays,MaxHoldDays,Held_GT_6M,Held_GT_1Y,Held_GT_2Y,Held_GT_3Y,Held_GT_5Y,CAGR,MaxDD,ProfitFactor,MaxWinner
Monthly EMA9,143,164.97202797202797,109.0,782,62,25,8,2,0,28.344520378092476,-33.97786809840312,5.850500888169324,1465.8324884313088
Monthly EMA12,121,194.41322314049586,139.0,1216,63,28,11,3,0,21.487878815887896,-34.34964892451524,5.556367199227339,1465.8324884313088
Monthly EMA20,80,283.0,205.0,1037,61,26,14,5,0,17.245186218857445,-39.95245322297749,3.8622572229568504,483.35446215883866
Monthly RSI < 50,56,427.0357142857143,288.0,1607,49,29,18,11,2,19.44492609309636,-38.4989969024973,9.189213366969197,443.95366652141934
Monthly RSI < 45,42,598.2857142857143,605.0,1749,37,28,23,17,4,14.458667861611652,-38.91286879260689,8.015558848540861,370.2365389936176
