Strategy Mode,Ending Equity (₹),CAGR (%),Max Drawdown (%),Profit Factor,Total Friction Paid (₹)
No Rebalancing (Trade-Based Entry Only),9075153.087639283,29.068178905690555,-28.14215183431616,1.7579359016042926,2575206.971418785
Monthly Rebalancing to Target Weights,8712937.59493202,28.4613871674672,-31.060622446347487,1.723417640414853,2803411.3365268633
