System,Trades,W25,W50,W100,W200,W300,W500,MaxWinner,AvgWin,Top1Pct_Contrib,Top5_Contrib,Top10_Contrib,CAGR,MaxDD,ProfitFactor
Monthly EMA9,143,34,25,17,10,8,3,1465.8324884313088,124.43984196193904,19.63241120261743,47.92947879386742,71.60794999690991,28.344520378092476,-33.97786809840312,5.850500888169324
Monthly EMA12,121,29,23,13,7,7,3,1465.8324884313088,117.52749646288582,23.532549909789658,54.75395932569701,74.23822365329417,21.487878815887896,-34.34964892451524,5.556367199227339
Weekly EMA20,417,49,30,12,3,2,1,1465.8324884313088,43.24571199873009,38.01192344175926,40.81930404811923,51.1032924311497,21.32711673104899,-29.654156766633864,2.4871153519107816
Monthly EMA9 (-20% stop),169,36,24,15,8,4,1,570.6357886149458,78.19616482336964,19.293588593498882,39.124346319006435,60.33136606488628,16.818286588094477,-32.52716030929071,3.1912482975283414
Monthly EMA12 (-20% stop),139,32,24,14,6,4,2,583.7673624910266,89.81024013910977,12.03705356544206,43.779651549582056,62.83320688530581,15.769281700561999,-36.70507024691904,3.573765184461192
Fixed 120D Benchmark,212,56,29,12,2,2,0,485.20763963187574,39.118620351375014,16.73144773220263,26.230766956377437,38.26939012133107,27.43823094663489,-30.677162779683158,3.690809306899385
Fixed 252D Benchmark,105,41,24,12,0,0,0,176.31081893818777,53.77159391501257,5.204577777652488,23.66515999051758,43.34663861726899,18.19241984496116,-37.7950258624303,3.84934074313643
