Strategy,TotalTrades,Gain_GT_25pct,Pct_GT_25pct,Gain_GT_50pct,Pct_GT_50pct,Gain_GT_100pct,Pct_GT_100pct,Gain_GT_200pct,Pct_GT_200pct,Gain_GT_300pct,Pct_GT_300pct,MaxWinnerPct
Fixed 20-Day Exit,948,48,5.063291139240507,8,0.8438818565400843,2,0.21097046413502107,0,0.0,0,0.0,161.21060328851053
Fixed 40-Day Exit,600,63,10.5,15,2.5,1,0.16666666666666669,1,0.16666666666666669,0,0.0,219.13399001371747
Fixed 60-Day Exit,448,69,15.401785714285715,23,5.133928571428571,3,0.6696428571428571,2,0.4464285714285714,1,0.2232142857142857,301.6231536796733
GFS -5% -> EMA21 Trailing (+5% Act),1570,39,2.4840764331210194,12,0.7643312101910829,1,0.06369426751592357,1,0.06369426751592357,0,0.0,219.13399001371747
