Horizon (Days),Signals Evaluated,Win Rate (%),Mean Return (%),Median Return (%),25th Pct (%),75th Pct (%),Max Return (%),Min Return (%),Std Dev (%),t-Statistic
+1d,2922,49.555099247091036,0.12617682423032822,0.0,-1.6411487187042408,1.7252282527617435,22.125682584227487,-71.81569822360804,3.657547334597311,1.8647891895528044
+3d,2920,48.39041095890411,0.04260822425253015,-0.14026356891288294,-2.9864871651007956,2.855004032347729,31.899993896484375,-70.6786711557652,5.750706716475549,0.400371948131236
+5d,2918,50.445510623714874,0.21295883442688962,0.03778555267215603,-3.5851942988629943,3.8328931598471074,45.17374142052111,-70.0940697113178,7.2889040385009585,1.5782509969159044
+10d,2911,53.48677430436276,1.1306290465104762,0.5686063487010307,-4.411527846252658,5.80565391218475,62.40875333152026,-67.0095082423521,10.251830115817757,5.950313400395125
+20d,2895,54.0587219343696,2.3868648251403473,0.9235527190703823,-5.665714353523416,8.594623318797588,150.07976417799028,-63.25474319726981,14.248742534852694,9.013128633803332
+40d,2872,56.928969359331475,5.143942485284653,2.6026596752770828,-6.429390183149384,14.0495595464335,220.73368269081163,-65.58366653650448,19.900129395284424,13.852635966838648
+60d,2862,55.76519916142557,7.300734765944535,2.966687501246973,-8.37153691576339,18.27331779230471,324.53890763200593,-66.44726155600041,26.43560574777631,14.774477102605736
+120d,2838,57.43481324876674,13.561972542590421,5.516681899990656,-12.227562814458475,30.67995451904377,453.8461500841251,-85.68818429037324,40.708993113782164,17.747561735447114
