Allocation Model,2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%),2026 (%)
Model A: Equal Weight (Baseline),-10.451862285256455,19.020190566333188,54.27108212824968,110.0929932753345,6.736435474020541,52.527181946489186,-5.266617712154906,36.3157557170866,-7.302795986140481
Model B1: Linear Rank Weighted,-10.526288263873582,27.691036510872692,61.908303075702634,130.55375080420157,2.184998940035866,61.58572104125546,-4.617055406957893,37.148890183546094,-5.698103472256243
Model B2: Inverse Rank Weighted,-11.81084838467585,27.798095458101262,60.11439488295092,111.49216630503543,4.1560615716896665,58.16997511757076,-6.650249700934108,35.95412263397255,-5.09858024106093
Model C: Relative Volume Weighted,-6.070579478605767,24.89166024298097,46.66079862091868,115.76339827842187,21.744518341127904,42.29991115487578,3.7729357717689727,34.99656376853393,-2.6640514964353317
Model D: Composite Tech+Fund Weighted,-7.4016817332896405,19.49886559817808,48.244224352065736,115.51097127352625,1.455992486971934,54.13531687100141,2.480527899183633,27.571919227237963,-4.432612612229153
