Strategy,Cost_Level,CAGR,MaxDD,ProfitFactor,WinRate,AvgTrade,AvgExposure,Turnover,NumTrades
GFS Baseline,Gross (0 bps),7.981340912794366,-33.758014690259635,1.2524904947896025,42.098688319800125,0.6961786334921128,47.920734777825366,377.41066417212346,1601
GFS Baseline,25 bps,1.5582899640037118,-38.44116214267041,1.063849771445915,40.28732042473454,0.19395330364927008,47.94951290885421,377.41066417212346,1601
GFS Baseline,50 bps,-4.465929330351326,-47.353449631555776,0.9100701104330654,38.08630393996248,-0.29871960879792125,47.97859528673802,376.93919550982224,1599
GFS Baseline,100 bps,-15.425626736340236,-76.6858404023971,0.6724606126396401,32.29036295369212,-1.2873231562357272,48.03596568540863,376.70346117867166,1598
GFS + Momentum,Gross (0 bps),5.998758677409377,-34.15167005148512,1.190445719647328,42.04834605597965,0.5349820918249547,48.32722389628548,370.57436856875586,1572
GFS + Momentum,25 bps,-0.16133726321977404,-38.80874712609923,1.0097096137798294,40.382165605095544,0.03002697374836653,48.3563539865695,370.10289990645464,1570
GFS + Momentum,50 bps,-5.949635802593911,-50.05360220978028,0.8612873786456866,37.8343949044586,-0.4688821247378909,48.38632564644705,370.10289990645464,1570
GFS + Momentum,100 bps,-16.531283277067143,-79.51356834495064,0.6343098877579696,32.504780114722756,-1.460533727060434,48.44606661069661,369.867165575304,1569
GFS + Regime,Gross (0 bps),7.950498834831343,-31.23352364781128,1.2851845317665174,42.56106587712805,0.7864704543134211,42.33184200123297,318.4770813844715,1351
GFS + Regime,25 bps,2.479325437639246,-35.68213669154872,1.0934569457766297,40.56254626202813,0.2837947911996492,42.338525771677034,318.4770813844715,1351
GFS + Regime,50 bps,-2.698057789522079,-40.62899853649897,0.9386134745331488,38.13056379821958,-0.20363023468816288,42.34562925542891,317.76987839101963,1348
GFS + Regime,100 bps,-12.247654847781074,-67.95080654619092,0.6961984499331448,32.29398663697104,-1.1924582181601542,42.36034439739892,317.53414405986905,1347
GFS + Sector,Gross (0 bps),7.8583557837105245,-33.4702985883929,1.250539295405528,42.098688319800125,0.6906672258460449,47.88097182625804,377.41066417212346,1601
GFS + Sector,25 bps,1.4413121514989857,-38.16229221709214,1.0620551218457661,40.28732042473454,0.18846938432063867,47.90932146416814,377.41066417212346,1601
GFS + Sector,50 bps,-4.577076330222473,-47.66714853298026,0.9084186588949361,38.02376485303315,-0.30418300154223493,47.93796486709403,376.93919550982224,1599
GFS + Sector,100 bps,-15.523243061830506,-76.91315925461369,0.6706352935396406,32.22778473091365,-1.2955501003027652,47.994409958414835,376.70346117867166,1598
GFS + Momentum + Regime,Gross (0 bps),5.935029603051567,-28.81923046934891,1.2157602960493927,42.18512898330804,0.6078087920164538,42.88292198038311,310.6978484565014,1318
GFS + Momentum + Regime,25 bps,0.7298909966500622,-32.9147481655596,1.0356894659143383,40.394836750189825,0.11044791626948315,42.901507905122365,310.4621141253508,1317
GFS + Momentum + Regime,50 bps,-4.204484887769288,-40.97343287419762,0.8850259037294117,37.737281700835226,-0.38886228917581955,42.92029866854472,310.4621141253508,1317
GFS + Momentum + Regime,100 bps,-13.352480027640844,-71.06791994642282,0.6552838088386508,32.21884498480243,-1.3768569456986657,42.90682203237316,310.22637979420017,1316
GFS + Momentum + Sector,Gross (0 bps),6.127635788781927,-33.44823298225488,1.1930466456994748,42.11869814932993,0.5414478106124064,48.34609119026435,369.3956969130028,1567
GFS + Momentum + Sector,25 bps,-0.04325215485833089,-38.21554326426164,1.0118067694757478,40.447284345047926,0.03645737627847814,48.376343225079275,368.92422825070156,1565
GFS + Momentum + Sector,50 bps,-5.8185205943573015,-49.56705850541383,0.862979770673745,37.891373801916934,-0.46248379444075055,48.404961298932115,368.92422825070156,1565
GFS + Momentum + Sector,100 bps,-16.343064661522412,-79.11831152399533,0.6354053159090525,32.54475703324808,-1.4541989882273145,48.459575159147306,368.688493919551,1564
GFS + Momentum + Sector + Regime,Gross (0 bps),6.048373953628428,-27.943940921410356,1.220426547266101,42.31354642313546,0.619489106228766,42.887851392504096,309.75491113189895,1314
GFS + Momentum + Sector + Regime,25 bps,0.8588810476966913,-31.984896853061212,1.0395447774549278,40.51789794364052,0.12209230271911353,42.906174735151296,309.51917680074837,1313
GFS + Momentum + Sector + Regime,50 bps,-4.061035774879751,-40.356064043045905,0.8881934770848112,37.852246763137856,-0.3772759801907443,42.92469174040012,309.51917680074837,1313
GFS + Momentum + Sector + Regime,100 bps,-13.186480408850986,-70.59427492021679,0.6574054169062236,32.31707317073171,-1.3653673985865395,42.91087903882026,309.28344246959773,1312
