Ranking_Method,Factor_Key,CAGR,MaxDD,ProfitFactor,WinRate,NumTrades,AvgTrade,MedianTrade,AvgExposure
Neutral (No factor),neutral,1.5582899640037118,-38.44116214267041,1.063849771445915,40.28732042473454,1601,0.19395330364927008,-5.473815461346613,47.94951290885421
Weekly RSI,weekly_rsi,-0.3258658998651187,-40.17165029977932,1.0215915070468318,41.00985221674877,1624,0.06491440501576434,-5.473815461346611,47.53251487186109
Monthly RSI,monthly_rsi,0.9767789654108849,-40.58087235913169,1.0611626287365894,41.44533662754787,1619,0.1825650792405029,-5.47381546134661,47.5498439932352
20-Day Momentum,ret_20d,-0.16133726321977404,-38.80874712609923,1.0097096137798294,40.382165605095544,1570,0.03002697374836653,-5.4738154613466135,48.3563539865695
60-Day Momentum,ret_60d,-2.750371972788479,-41.160382591082964,0.9517557002398195,40.56490384615385,1664,-0.14661689276445833,-5.473815461346613,46.322795969235145
Relative Strength 20D vs NIFTY,rs_20d,-0.16133726321977404,-38.80874712609923,1.0097096137798294,40.382165605095544,1570,0.03002697374836653,-5.4738154613466135,48.3563539865695
Relative Strength 60D vs NIFTY,rs_60d,-2.750371972788479,-41.160382591082964,0.9517557002398195,40.56490384615385,1664,-0.14661689276445833,-5.473815461346613,46.322795969235145
Relative Volume 20D,rel_vol_20d,-0.08174264983128454,-38.83920431350946,1.0282958581876394,40.56426332288402,1595,0.08536733632228238,-5.473815461346613,48.09788387914719
Composite Momentum Score,composite,-0.5515624279436637,-40.28939469305398,1.019795777017342,40.72929542645241,1618,0.05937862810594371,-5.473815461346611,47.198558411073606
