Fold,Model,Train_Period,Test_Period,Train_CAGR,Train_PF,Test_Return,Test_MaxDD,Test_PF,Test_WinRate,Test_Trades
Fold 1,Weekly EMA9,2018-2020,2021-2021,4.71055905064961,1.5219104470121718,50.569938466877865,-15.042094983092646,2.3573611524403395,35.294117647058826,238
Fold 1,Weekly EMA20,2018-2020,2021-2021,3.7200510888232508,1.4626617259141463,46.38548067637512,-13.211384518610526,3.3066447285919387,43.24324324324324,74
Fold 1,Monthly EMA9,2018-2020,2021-2021,6.760279062557428,2.050067636021134,56.82009622371942,-9.533877881810819,10.942020424824491,78.26086956521739,23
Fold 1,Monthly EMA12,2018-2020,2021-2021,6.506190943593171,1.9909025792365622,47.915820859066514,-11.48546064802083,10.086328847271265,76.19047619047619,21
Fold 1,Monthly EMA20,2018-2020,2021-2021,22.545375684255518,4.451977438890818,57.07812403183179,-8.443547217301372,24.501619053931094,83.33333333333334,18
Fold 1,Monthly RSI < 50,2018-2020,2021-2021,24.55211144478122,8.169191997874512,51.8705611305715,-11.130714785099991,26.679399719934214,88.23529411764706,17
Fold 1,Monthly RSI < 45,2018-2020,2021-2021,22.560995817733478,7.295449744397886,50.87338741975134,-11.377472559041468,20.61220817455486,80.0,15
Fold 1,Monthly EMA9 OR RSI < 50,2018-2020,2021-2021,6.760279062557428,2.050067636021134,56.82009622371942,-9.533877881810819,10.942020424824491,78.26086956521739,23
Fold 1,Monthly EMA12 OR RSI < 50,2018-2020,2021-2021,6.506190943593171,1.9909025792365622,47.915820859066514,-11.48546064802083,10.086328847271265,76.19047619047619,21
Fold 1,Fixed 120D Benchmark,2018-2020,2021-2021,9.527446578909625,2.79312788757235,49.49995064332173,-8.932155205965344,5.7611532900657245,70.0,30
Fold 2,Weekly EMA9,2018-2021,2022-2022,15.958617169874856,2.0942099092892437,-25.9902173399086,-28.74160996240854,0.49844855093909285,26.732673267326735,202
Fold 2,Weekly EMA20,2018-2021,2022-2022,8.49678448558111,1.7149031363279774,-11.776480241339806,-22.243393008034328,0.7376715919397788,34.40860215053764,93
Fold 2,Monthly EMA9,2018-2021,2022-2022,17.496589371659212,4.31235847559781,6.279657611949137,-27.171288216304685,1.3142761257464537,25.0,36
Fold 2,Monthly EMA12,2018-2021,2022-2022,10.319751856640714,3.305426412352402,-2.200168248818931,-28.45476143611183,1.2539493157442176,22.58064516129032,31
Fold 2,Monthly EMA20,2018-2021,2022-2022,20.05580771428268,5.36933311914604,-1.4333608834492975,-27.607394240389226,1.6388023135709588,31.818181818181817,22
Fold 2,Monthly RSI < 50,2018-2021,2022-2022,23.052598717142736,11.293893060765338,0.06263849522917299,-27.21929147521538,1.7797606388287017,31.57894736842105,19
Fold 2,Monthly RSI < 45,2018-2021,2022-2022,22.891743116206207,10.985499645593023,0.6321936377212755,-28.617006851415617,1.9904518356739906,33.33333333333333,18
