Fold,Model,Train_Period,Test_Period,Train_CAGR,Train_PF,Test_Return,Test_MaxDD,Test_PF,Test_WinRate,Test_Trades
Fold 2,Monthly EMA9 OR RSI < 50,2018-2021,2022-2022,17.496589371659212,4.31235847559781,5.207425413998938,-27.38206344959433,1.248826372110591,22.22222222222222,36
Fold 2,Monthly EMA12 OR RSI < 50,2018-2021,2022-2022,10.580647157222067,3.4078812134194822,-4.841544919185561,-27.42401714512031,1.1685421436692192,19.35483870967742,31
Fold 2,Fixed 120D Benchmark,2018-2021,2022-2022,23.16507891238866,4.445645680675095,-10.768919641208148,-29.78025269318752,0.607091567239959,33.33333333333333,30
Fold 3,Weekly EMA9,2018-2022,2023-2023,10.104820483583875,1.5460202250702837,59.82843689667581,-6.083875777804106,3.9063001490421816,40.78947368421053,152
Fold 3,Weekly EMA20,2018-2022,2023-2023,7.0924059158080865,1.4877442854410874,46.72674920641794,-11.20341431636783,4.1877128321791055,37.878787878787875,66
Fold 3,Monthly EMA9,2018-2022,2023-2023,19.261871800707375,4.5519589068740975,67.97143034734302,-13.09417407696731,7.312010945612228,62.5,24
Fold 3,Monthly EMA12,2018-2022,2023-2023,13.976687471206994,3.586375110323712,72.65101710540847,-14.433280467294765,7.271825988007274,66.66666666666666,21
Fold 3,Monthly EMA20,2018-2022,2023-2023,18.300966362727024,3.532147220603682,70.81517991913367,-15.899961270064122,6.762884287892178,68.42105263157895,19
Fold 3,Monthly RSI < 50,2018-2022,2023-2023,24.679489369252593,11.11209060890367,74.90268724404409,-15.899961270064122,9.456144108184487,77.77777777777779,18
Fold 3,Monthly RSI < 45,2018-2022,2023-2023,16.534749314012267,9.401642718738966,73.57107791715009,-15.899961270064122,9.663348584888093,76.47058823529412,17
Fold 3,Monthly EMA9 OR RSI < 50,2018-2022,2023-2023,19.261871800707375,4.5519589068740975,67.97143034734302,-13.09417407696731,7.312010945612228,62.5,24
Fold 3,Monthly EMA12 OR RSI < 50,2018-2022,2023-2023,14.182466390783643,3.780339262803021,72.65101710540847,-14.433280467294765,7.271825988007274,66.66666666666666,21
Fold 3,Fixed 120D Benchmark,2018-2022,2023-2023,19.822279317720092,2.9947179369237307,78.52032583444233,-14.736658473309308,7.576299163475541,70.0,30
Fold 4,Weekly EMA9,2018-2023,2024-2024,16.58440707063693,1.8751527532350365,4.7996966673705606,-19.359594366908194,1.1753128990813935,32.42009132420091,219
Fold 4,Weekly EMA20,2018-2023,2024-2024,12.92306279645139,1.9382045228817355,35.870872619261874,-19.68655562334742,2.4901608483912794,36.486486486486484,74
Fold 4,Monthly EMA9,2018-2023,2024-2024,24.956363574760164,6.036857341217784,12.874217792206188,-19.722758268624585,1.730784931008226,42.42424242424242,33
Fold 4,Monthly EMA12,2018-2023,2024-2024,20.489440824982207,5.037330187050213,15.764581861631969,-19.6094299215687,1.849730445327371,42.857142857142854,28
Fold 4,Monthly EMA20,2018-2023,2024-2024,22.506818114762297,4.563758320814187,20.849260450123786,-18.789716992332064,2.553018940130304,52.38095238095239,21
Fold 4,Monthly RSI < 50,2018-2023,2024-2024,22.937987535375836,10.11395671084917,20.21278671260355,-18.789716992332064,2.3301663209392305,50.0,20
Fold 4,Monthly RSI < 45,2018-2023,2024-2024,15.783722005355273,7.49519711867271,20.099856116762666,-18.86242465330452,2.4070356430089057,52.94117647058824,17
Fold 4,Monthly EMA9 OR RSI < 50,2018-2023,2024-2024,24.956363574760164,6.036857341217784,12.874217792206188,-19.722758268624585,1.730784931008226,42.42424242424242,33
Fold 4,Monthly EMA12 OR RSI < 50,2018-2023,2024-2024,20.701555735150713,5.352912494025952,15.764581861631969,-19.6094299215687,1.849730445327371,42.857142857142854,28
Fold 4,Fixed 120D Benchmark,2018-2023,2024-2024,28.035530059887527,4.030139517039332,12.725974455953203,-18.86242465330452,1.7129536422649412,53.333333333333336,30
Fold 5,Weekly EMA9,2018-2024,2025-2025,17.14047591027441,1.80138273788561,7.711518468902097,-14.485734769391295,1.3695487205127177,25.196850393700785,127
Fold 5,Weekly EMA20,2018-2024,2025-2025,18.36567692663891,2.3895478830450854,19.462836284247086,-21.09550473455347,1.7025436031535994,23.376623376623375,77
Fold 5,Monthly EMA9,2018-2024,2025-2025,25.888479730743242,6.912496690779056,-9.307632471411198,-25.515354808903645,0.8160132052680027,27.500000000000004,40
Fold 5,Monthly EMA12,2018-2024,2025-2025,25.609978974668678,6.999508961400221,-5.659074173988332,-25.515354808903645,0.8745582718812922,27.27272727272727,33
Fold 5,Monthly EMA20,2018-2024,2025-2025,22.743482436559237,5.605668588052576,-1.894824106303102,-25.15176950632266,0.9936915790731372,34.78260869565217,23
Fold 5,Monthly RSI < 50,2018-2024,2025-2025,25.326333872145245,13.034314645716137,-1.4138003042493947,-25.763857315785543,1.0056796453538452,31.818181818181817,22
Fold 5,Monthly RSI < 45,2018-2024,2025-2025,16.868053954375164,8.417803749848998,-9.986399347562564,-25.708233286966102,0.445170602784195,18.75,16
Fold 5,Monthly EMA9 OR RSI < 50,2018-2024,2025-2025,25.888479730743242,6.912496690779056,-9.307632471411198,-25.515354808903645,0.8160132052680027,27.500000000000004,40
Fold 5,Monthly EMA12 OR RSI < 50,2018-2024,2025-2025,25.175725616074995,7.225816022278972,-5.659074173988332,-25.515354808903645,0.8745582718812922,27.27272727272727,33
Fold 5,Fixed 120D Benchmark,2018-2024,2025-2025,26.046791028614447,3.6272851964818895,16.405085695072938,-25.708233286966102,1.9761481756098818,54.83870967741935,31
Fold 6,Weekly EMA9,2018-2025,2026-2026,15.907383909714113,1.740452686671196,-5.462711932106013,-15.252750022283204,0.7705021471166076,26.53061224489796,98
Fold 6,Weekly EMA20,2018-2025,2026-2026,18.470060065970408,2.2791559795055516,17.30044046613446,-15.698525804173965,1.883945972141533,33.33333333333333,48
Fold 6,Monthly EMA9,2018-2025,2026-2026,24.969701943664923,5.39661814544463,28.41525019533313,-13.48027584412,4.006656420203557,50.0,26
Fold 6,Monthly EMA12,2018-2025,2026-2026,20.610905972411953,5.120086869523484,31.164410415738008,-13.48027584412,4.546537372847581,54.166666666666664,24
Fold 6,Monthly EMA20,2018-2025,2026-2026,17.66680649808354,3.944729698955472,26.997113157283376,-13.607385111084808,3.6900707460305893,47.61904761904761,21
Fold 6,Monthly RSI < 50,2018-2025,2026-2026,21.15857073628973,10.815932278545134,26.204489957793008,-13.607385111084808,3.765371626574536,50.0,20
Fold 6,Monthly RSI < 45,2018-2025,2026-2026,14.912110476385653,7.999520616244905,26.981544225404647,-13.607385111084808,6.534769654032045,52.94117647058824,17
Fold 6,Monthly EMA9 OR RSI < 50,2018-2025,2026-2026,24.969701943664923,5.39661814544463,28.41525019533313,-13.48027584412,4.006656420203557,50.0,26
Fold 6,Monthly EMA12 OR RSI < 50,2018-2025,2026-2026,19.095992960079776,4.947703488535042,31.164410415738008,-13.48027584412,4.546537372847581,54.166666666666664,24
Fold 6,Fixed 120D Benchmark,2018-2025,2026-2026,26.790380317325948,3.592670835133198,36.024864402501215,-13.607385111084808,8.436564596139354,66.66666666666666,30
